id,sentence,target,target_index,target_lemma,target_pos,label
a1h-fragment06_133_30,"Keller was made a Steward of Henley Royal Regatta in 1976 , a time when the proliferation of new six-lane , still-water courses around the world , which had emerged under his guidance , seemed a threat to the regatta founded in 1829 .",emerged,30,emerge,VERB,1
a1h-fragment06_133_35,"Keller was made a Steward of Henley Royal Regatta in 1976 , a time when the proliferation of new six-lane , still-water courses around the world , which had emerged under his guidance , seemed a threat to the regatta founded in 1829 .",seemed,35,seem,VERB,0
a1h-fragment06_133_41,"Keller was made a Steward of Henley Royal Regatta in 1976 , a time when the proliferation of new six-lane , still-water courses around the world , which had emerged under his guidance , seemed a threat to the regatta founded in 1829 .",founded,41,found,VERB,0
a1h-fragment06_134_12,"But it was the spirit of Henley , with huge crowds enjoying amateur sport , presented with administrative finesse , which Keller took as the yardstick for the international circuit .",enjoying,12,enjoy,VERB,0
a1h-fragment06_134_16,"But it was the spirit of Henley , with huge crowds enjoying amateur sport , presented with administrative finesse , which Keller took as the yardstick for the international circuit .",presented,16,present,VERB,1
a1h-fragment06_134_23,"But it was the spirit of Henley , with huge crowds enjoying amateur sport , presented with administrative finesse , which Keller took as the yardstick for the international circuit .",took,23,take,VERB,1
a1h-fragment06_135_2,He loved the place and he returned every year to play an often small part as umpire of races between undistinguished clubs far below the Olympic standard he was obliged to administer .,loved,2,love,VERB,0
a1h-fragment06_135_7,He loved the place and he returned every year to play an often small part as umpire of races between undistinguished clubs far below the Olympic standard he was obliged to administer .,returned,7,return,VERB,0
a1h-fragment06_135_11,He loved the place and he returned every year to play an often small part as umpire of races between undistinguished clubs far below the Olympic standard he was obliged to administer .,play,11,play,VERB,1
a1h-fragment06_135_30,He loved the place and he returned every year to play an often small part as umpire of races between undistinguished clubs far below the Olympic standard he was obliged to administer .,obliged,30,oblige,VERB,0
a1h-fragment06_135_32,He loved the place and he returned every year to play an often small part as umpire of races between undistinguished clubs far below the Olympic standard he was obliged to administer .,administer,32,administer,VERB,0
a1h-fragment06_136_2,"He said this summer that as he gradually wound down his involvement in sport , Henley would be the last thing he would give up .",said,2,say,VERB,0
a1h-fragment06_136_9,"He said this summer that as he gradually wound down his involvement in sport , Henley would be the last thing he would give up .",wound,9,wind,VERB,0
a1h-fragment06_136_24,"He said this summer that as he gradually wound down his involvement in sport , Henley would be the last thing he would give up .",give,24,give,VERB,0
a1h-fragment06_137_10,During his term as President of FISA he gradually reduced his role in Eduard Keller Ltd and used the company offices to provide a world headquarters for rowing .,reduced,10,reduce,VERB,1
a1h-fragment06_137_18,During his term as President of FISA he gradually reduced his role in Eduard Keller Ltd and used the company offices to provide a world headquarters for rowing .,used,18,use,VERB,0
a1h-fragment06_137_23,During his term as President of FISA he gradually reduced his role in Eduard Keller Ltd and used the company offices to provide a world headquarters for rowing .,provide,23,provide,VERB,0
a1h-fragment06_138_5,"The sport is now obliged to find income from the more normal sources of television and sponsorship , to replace his largely unacknowledged private patronage .",obliged,5,oblige,VERB,1
a1h-fragment06_138_7,"The sport is now obliged to find income from the more normal sources of television and sponsorship , to replace his largely unacknowledged private patronage .",find,7,find,VERB,1
a1h-fragment06_138_20,"The sport is now obliged to find income from the more normal sources of television and sponsorship , to replace his largely unacknowledged private patronage .",replace,20,replace,VERB,1
a1h-fragment06_139_15,"In spite of his gift to the sport , Keller was anxious not to abuse his status as President and never went to a rowing event unless invited .",abuse,15,abuse,VERB,1
a1h-fragment06_139_22,"In spite of his gift to the sport , Keller was anxious not to abuse his status as President and never went to a rowing event unless invited .",went,22,go,VERB,0
a1h-fragment06_139_28,"In spite of his gift to the sport , Keller was anxious not to abuse his status as President and never went to a rowing event unless invited .",invited,28,invite,VERB,0
a1h-fragment06_140_8,"Because of this , he had never seen the Oxford and Cambridge boat race until this year .",seen,8,see,VERB,0
a1h-fragment06_141_3,He was enthralled by the entire proceeding and remarked that only the English could make a contest between two crews which would not rank in the World 's top 10 into a bigger spectacle than the Olympic final .,enthralled,3,enthral,VERB,0
a1h-fragment06_141_9,He was enthralled by the entire proceeding and remarked that only the English could make a contest between two crews which would not rank in the World 's top 10 into a bigger spectacle than the Olympic final .,remarked,9,remark,VERB,0
a1h-fragment06_141_15,He was enthralled by the entire proceeding and remarked that only the English could make a contest between two crews which would not rank in the World 's top 10 into a bigger spectacle than the Olympic final .,make,15,make,VERB,1
a1h-fragment06_141_24,He was enthralled by the entire proceeding and remarked that only the English could make a contest between two crews which would not rank in the World 's top 10 into a bigger spectacle than the Olympic final .,rank,24,rank,VERB,1
a1h-fragment06_142_5,"The final task he set himself for his Presidency , which was due to end next year , was to weed out of the Regatta calendar all the rowing courses which could be made unfair by the wind .",set,5,set,VERB,1
a1h-fragment06_142_15,"The final task he set himself for his Presidency , which was due to end next year , was to weed out of the Regatta calendar all the rowing courses which could be made unfair by the wind .",end,15,end,VERB,0
a1h-fragment06_142_34,"The final task he set himself for his Presidency , which was due to end next year , was to weed out of the Regatta calendar all the rowing courses which could be made unfair by the wind .",made,34,make,VERB,1
a1h-fragment06_143_4,"He had recently travelled from Tasmania to Norway in search of the perfect 2,000 metres of flat water .",travelled,4,travel,VERB,0
a1h-fragment06_144_29,"It was a blessing that , in response to congratulations on the superb World Championship Regatta at Bled in Yugoslavia three weeks ago , he was able to reply , ‘ Yes … and best of all , the conditions were fair throughout ’ .",reply,29,reply,VERB,0
a3c-fragment05_186_20,Drink : Desire in search of a name : Do the French have the ‘ mot juste ’ to describe the desire for a reviving drink ?,describe,20,describe,VERB,0
a3c-fragment05_186_25,Drink : Desire in search of a name : Do the French have the ‘ mot juste ’ to describe the desire for a reviving drink ?,reviving,25,revive,VERB,1
a3c-fragment05_187_11,"In the first of a monthly series , Michael Jackson hunts in vain",hunts,11,hunt,VERB,1
a3c-fragment05_189_1,THANK God it 's Saturday .,THANK,1,thank,INTJ,0
a3c-fragment05_190_2,"I know that today is Saturday because already I am thirsty for a dry , hoppy pint of bitter at the end of the afternoon : an aperitif to sharpen my appetite for this evening 's Indian meal .",know,2,know,VERB,0
a3c-fragment05_190_30,"I know that today is Saturday because already I am thirsty for a dry , hoppy pint of bitter at the end of the afternoon : an aperitif to sharpen my appetite for this evening 's Indian meal .",sharpen,30,sharpen,VERB,1
a3c-fragment05_191_4,How did you feel as you came to the end of your working week yesterday afternoon ?,feel,4,feel,VERB,1
a3c-fragment05_191_7,How did you feel as you came to the end of your working week yesterday afternoon ?,came,7,come,VERB,1
a3c-fragment05_191_13,How did you feel as you came to the end of your working week yesterday afternoon ?,working,13,working,NOUN,0
a3c-fragment05_193_2,"We say we are thirsty when we mean that we fancy a glass of wine , a pint of beer , a gin and tonic or a shot of whisky — the pleasure of naming our poison — at the end of a busy day or tiresome week .",say,2,say,VERB,0
a3c-fragment05_193_8,"We say we are thirsty when we mean that we fancy a glass of wine , a pint of beer , a gin and tonic or a shot of whisky — the pleasure of naming our poison — at the end of a busy day or tiresome week .",mean,8,mean,VERB,0
a3c-fragment05_193_35,"We say we are thirsty when we mean that we fancy a glass of wine , a pint of beer , a gin and tonic or a shot of whisky — the pleasure of naming our poison — at the end of a busy day or tiresome week .",naming,35,name,VERB,0
a3c-fragment05_195_2,"To enjoy it , we do not need to be dry : just in need of a restorative or relaxant , or maybe a focus for a social moment or brief encounter .",enjoy,2,enjoy,VERB,0
a3c-fragment05_195_8,"To enjoy it , we do not need to be dry : just in need of a restorative or relaxant , or maybe a focus for a social moment or brief encounter .",need,8,need,VERB,0
a3c-fragment05_196_2,We call it ‘ thirst ’ in lieu of a more accurate description .,call,2,call,VERB,0
a3c-fragment05_198_8,"It is a desire millions of us know and share , yet for which we have no name .",know,8,know,VERB,0
a3c-fragment05_198_10,"It is a desire millions of us know and share , yet for which we have no name .",share,10,share,VERB,1
a3c-fragment05_199_6,"This desire that can not find its name ( though it would dare speak it , if it could ) is pleasurable .",find,6,find,VERB,1
a3c-fragment05_199_13,"This desire that can not find its name ( though it would dare speak it , if it could ) is pleasurable .",dare,13,dare,VERB,1
a3c-fragment05_199_14,"This desire that can not find its name ( though it would dare speak it , if it could ) is pleasurable .",speak,14,speak,VERB,1
a3c-fragment05_200_6,It is as enjoyable as feeling gently hungry or amorous .,feeling,6,feel,VERB,1
a3c-fragment05_203_1,"Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .",Let,1,let,VERB,0
a3c-fragment05_203_7,"Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .",disapprove,7,disapprove,VERB,0
a3c-fragment05_203_9,"Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .",dismiss,9,dismiss,VERB,1
a3c-fragment05_204_5,"Those of us who enjoy them need only a name for each condition , so that we may discuss them in expectation and in recollection .",enjoy,5,enjoy,VERB,0
a3c-fragment05_204_7,"Those of us who enjoy them need only a name for each condition , so that we may discuss them in expectation and in recollection .",need,7,need,VERB,0
a3c-fragment05_204_19,"Those of us who enjoy them need only a name for each condition , so that we may discuss them in expectation and in recollection .",discuss,19,discuss,VERB,0
a3c-fragment05_205_1,"Come to think of it , neither hunger nor randiness hits quite the spot .",Come,1,come,VERB,1
a3c-fragment05_205_3,"Come to think of it , neither hunger nor randiness hits quite the spot .",think,3,think,VERB,0
a3c-fragment05_205_11,"Come to think of it , neither hunger nor randiness hits quite the spot .",hits,11,hit,VERB,1
a3c-fragment05_208_4,This is to digress .,digress,4,digress,VERB,0
a3c-fragment05_209_8,What of this thirst that can be satisfied by an unquenching drink ?,satisfied,8,satisfy,VERB,1
a3c-fragment05_210_4,"Wine is not quenching , but no less in demand for that .",quenching,4,quench,VERB,1
a3c-fragment05_211_1,"Try to quench your thirst with a light , fresh white and you will drink enough to put you on your back .",Try,1,try,VERB,0
a3c-fragment05_211_3,"Try to quench your thirst with a light , fresh white and you will drink enough to put you on your back .",quench,3,quench,VERB,1
a3c-fragment05_211_15,"Try to quench your thirst with a light , fresh white and you will drink enough to put you on your back .",drink,15,drink,VERB,0
a3c-fragment05_211_18,"Try to quench your thirst with a light , fresh white and you will drink enough to put you on your back .",put,18,put,VERB,1
a3c-fragment05_213_4,"It can momentarily blunt a thirst , but not altogether cut it .",blunt,4,blunt,VERB,1
a3c-fragment05_213_11,"It can momentarily blunt a thirst , but not altogether cut it .",cut,11,cut,VERB,1
a3c-fragment05_215_6,Anything with even a modest smack of hops dries the palate ready for the next one .,smack,6,smack,NOUN,1
a3c-fragment05_215_8,Anything with even a modest smack of hops dries the palate ready for the next one .,hops,8,hop,NOUN,0
a3c-fragment05_215_9,Anything with even a modest smack of hops dries the palate ready for the next one .,dries,9,dry,VERB,1
a3c-fragment05_217_6,"It may for a moment seem to quench but it dehydrates , as purportedly healthy abstainers are forever telling me .",seem,6,seem,VERB,0
a3c-fragment05_217_8,"It may for a moment seem to quench but it dehydrates , as purportedly healthy abstainers are forever telling me .",quench,8,quench,VERB,1
a3c-fragment05_217_11,"It may for a moment seem to quench but it dehydrates , as purportedly healthy abstainers are forever telling me .",dehydrates,11,dehydrate,VERB,0
a3c-fragment05_217_19,"It may for a moment seem to quench but it dehydrates , as purportedly healthy abstainers are forever telling me .",telling,19,tell,VERB,0
a3c-fragment05_218_2,"To quench is more than to refresh although our lying , lascivious eyes tell us the two are the same .",quench,2,quench,VERB,1
a3c-fragment05_218_7,"To quench is more than to refresh although our lying , lascivious eyes tell us the two are the same .",refresh,7,refresh,VERB,0
a3c-fragment05_218_10,"To quench is more than to refresh although our lying , lascivious eyes tell us the two are the same .",lying,10,lie,VERB,1
a3c-fragment05_218_14,"To quench is more than to refresh although our lying , lascivious eyes tell us the two are the same .",tell,14,tell,VERB,1
a3c-fragment05_219_4,"Does any drink look more quenching than one of those Italian or French patent aperitifs , swirling in a refractive pink or russet oiliness , clothing the melting ice : a Campari , Dubonnet , Lillet or ( too rare in this country ) a Picon ?",look,4,look,VERB,0
a3c-fragment05_219_17,"Does any drink look more quenching than one of those Italian or French patent aperitifs , swirling in a refractive pink or russet oiliness , clothing the melting ice : a Campari , Dubonnet , Lillet or ( too rare in this country ) a Picon ?",swirling,17,swirl,VERB,1
a3c-fragment05_220_3,Are they quenching ?,quenching,3,quench,VERB,1
a3c-fragment05_221_3,"No , refreshing .",refreshing,3,refreshing,ADJ,0
a3c-fragment05_222_7,"In Strasburg , they have been known to lace beer with Picon , thereby ruining both drinks ( as Queen Victoria reputedly did with claret and malt whisky ) , but still the result is not especially quenching .",known,7,know,VERB,0
a3c-fragment05_222_9,"In Strasburg , they have been known to lace beer with Picon , thereby ruining both drinks ( as Queen Victoria reputedly did with claret and malt whisky ) , but still the result is not especially quenching .",lace,9,lace,VERB,1
a3c-fragment05_222_15,"In Strasburg , they have been known to lace beer with Picon , thereby ruining both drinks ( as Queen Victoria reputedly did with claret and malt whisky ) , but still the result is not especially quenching .",ruining,15,ruin,VERB,0
a3c-fragment05_222_38,"In Strasburg , they have been known to lace beer with Picon , thereby ruining both drinks ( as Queen Victoria reputedly did with claret and malt whisky ) , but still the result is not especially quenching .",quenching,38,quenching,ADJ,1
a3c-fragment05_223_11,"Perhaps a shimmering dry Martini cocktail ( minimum dilution , stirred , not shaken ; and served straight up ) looks even more refreshing , though its effect is that of a silver mallet .",stirred,11,stir,VERB,0
a3c-fragment05_223_14,"Perhaps a shimmering dry Martini cocktail ( minimum dilution , stirred , not shaken ; and served straight up ) looks even more refreshing , though its effect is that of a silver mallet .",shaken,14,shake,VERB,0
a3c-fragment05_223_17,"Perhaps a shimmering dry Martini cocktail ( minimum dilution , stirred , not shaken ; and served straight up ) looks even more refreshing , though its effect is that of a silver mallet .",served,17,serve,VERB,0
a3c-fragment05_223_21,"Perhaps a shimmering dry Martini cocktail ( minimum dilution , stirred , not shaken ; and served straight up ) looks even more refreshing , though its effect is that of a silver mallet .",looks,21,look,VERB,0
a3c-fragment05_224_23,"In the right place ( possibly New York , but San Francisco is better ) , the Martini is the ultimate ‘ Thank God it 's Friday ’ drink .",Thank,23,thank,VERB,0
a3c-fragment05_226_2,"Not feeling thirsty , but fancying a drink , has a world of moments .",feeling,2,feel,VERB,0
a3c-fragment05_226_6,"Not feeling thirsty , but fancying a drink , has a world of moments .",fancying,6,fancy,VERB,0
a3c-fragment05_227_3,Some Frenchmen start the day with a coffee and calvados .,start,3,start,VERB,0
a3c-fragment05_228_5,The people of Munich call their version of Weissbier ‘ breakfast beer ’ and have it with a pair of coddled veal sausages .,call,5,call,VERB,0
a3c-fragment05_228_21,The people of Munich call their version of Weissbier ‘ breakfast beer ’ and have it with a pair of coddled veal sausages .,coddled,21,coddle,VERB,0
a3c-fragment05_229_3,"New Orleans favours a mid-morning milk punch , or its own variation on the gin fizz .",favours,3,favour,VERB,1
a3c-fragment05_232_4,None of these requires anything even approaching a thirst .,requires,4,require,VERB,0
a3c-fragment05_232_7,None of these requires anything even approaching a thirst .,approaching,7,approach,VERB,1
a3c-fragment05_233_5,Do we really ‘ wash down ’ a good meal with claret ?,wash,5,wash,VERB,1
a3c-fragment05_234_4,Port is immediately suggested by Stilton ; cognac by coffee .,suggested,4,suggest,VERB,1
a3c-fragment05_235_5,"I do not fully appreciate the experience of an American late-night movie without a bourbon , or a book at bedtime without a single malt .",appreciate,5,appreciate,VERB,0
a3c-fragment05_236_18,These are not moments of thirst … but nor are they causes of drunkenness ( unless one tries to pack all such experiences into one day ) .,tries,18,try,VERB,0
a3c-fragment05_236_20,These are not moments of thirst … but nor are they causes of drunkenness ( unless one tries to pack all such experiences into one day ) .,pack,20,pack,VERB,1
a3c-fragment05_237_4,We do not drink because we are thirsty .,drink,4,drink,VERB,0
a3c-fragment05_238_14,"Nor , if we are in civilised cast of mind , because we wish to become drunk .",wish,14,wish,VERB,0
a3c-fragment05_238_16,"Nor , if we are in civilised cast of mind , because we wish to become drunk .",become,16,become,VERB,0
a3c-fragment05_239_5,"A friend of mine says that her body tells her , without being asked , the season of the year .",says,5,say,VERB,0
a3c-fragment05_239_9,"A friend of mine says that her body tells her , without being asked , the season of the year .",tells,9,tell,VERB,1
a3c-fragment05_239_14,"A friend of mine says that her body tells her , without being asked , the season of the year .",asked,14,ask,VERB,1
a3c-fragment05_240_10,"At the end of summer , her body stops wanting gin and tonics and suddenly desires whisky .",wanting,10,want,VERB,1
a3c-fragment05_242_4,People will nevertheless say that the desire is for nothing more than alcohol .,say,4,say,VERB,0
a3c-fragment05_246_11,"These are sensuous pleasures at their most enjoyable when we ritualise them , but how do we feel when we desire them ?",ritualise,11,ritualise,VERB,1
a3c-fragment05_246_18,"These are sensuous pleasures at their most enjoyable when we ritualise them , but how do we feel when we desire them ?",feel,18,feel,VERB,1
a3c-fragment05_246_21,"These are sensuous pleasures at their most enjoyable when we ritualise them , but how do we feel when we desire them ?",desire,21,desire,VERB,0
a3c-fragment05_251_3,"Could we borrow , beg or invent one ?",borrow,3,borrow,VERB,1
a3c-fragment05_251_5,"Could we borrow , beg or invent one ?",beg,5,beg,VERB,0
a3c-fragment05_251_7,"Could we borrow , beg or invent one ?",invent,7,invent,VERB,0
a3c-fragment05_252_6,"Answers in a bottle , please .",please,6,please,INTJ,0
a3c-fragment05_253_4,"If you are feeling — for lack of a better word -thirsty , let's meet again next month .",feeling,4,feel,VERB,1
a3c-fragment05_253_14,"If you are feeling — for lack of a better word -thirsty , let's meet again next month .",let's,14,letus,VERB,0
a3c-fragment05_253_15,"If you are feeling — for lack of a better word -thirsty , let's meet again next month .",meet,15,meet,VERB,1
a3c-fragment05_255_7,"It will be my turn to get them in , I think .",get,7,get,VERB,0
a3c-fragment05_255_12,"It will be my turn to get them in , I think .",think,12,think,VERB,0
a7s-fragment03_41_14,THERE was one point when the hair on the back of my head began to lift .,began,14,begin,VERB,0
a7s-fragment03_41_16,THERE was one point when the hair on the back of my head began to lift .,lift,16,lift,VERB,0
a7s-fragment03_42_14,"Not at Paul Hill 's remembrance of beatings past , when he could hear the sound of steel-tipped boots running to take part in the fun , and once heard a principal medical officer , no less , telling colleagues : ‘ Do n't walk his face , do n't walk his face . ’",hear,14,hear,VERB,0
a7s-fragment03_42_20,"Not at Paul Hill 's remembrance of beatings past , when he could hear the sound of steel-tipped boots running to take part in the fun , and once heard a principal medical officer , no less , telling colleagues : ‘ Do n't walk his face , do n't walk his face . ’",running,20,run,VERB,1
a7s-fragment03_42_22,"Not at Paul Hill 's remembrance of beatings past , when he could hear the sound of steel-tipped boots running to take part in the fun , and once heard a principal medical officer , no less , telling colleagues : ‘ Do n't walk his face , do n't walk his face . ’",take,22,take,VERB,1
a7s-fragment03_42_30,"Not at Paul Hill 's remembrance of beatings past , when he could hear the sound of steel-tipped boots running to take part in the fun , and once heard a principal medical officer , no less , telling colleagues : ‘ Do n't walk his face , do n't walk his face . ’",heard,30,hear,VERB,0
a7s-fragment03_42_39,"Not at Paul Hill 's remembrance of beatings past , when he could hear the sound of steel-tipped boots running to take part in the fun , and once heard a principal medical officer , no less , telling colleagues : ‘ Do n't walk his face , do n't walk his face . ’",telling,39,tell,VERB,0
a7s-fragment03_42_45,"Not at Paul Hill 's remembrance of beatings past , when he could hear the sound of steel-tipped boots running to take part in the fun , and once heard a principal medical officer , no less , telling colleagues : ‘ Do n't walk his face , do n't walk his face . ’",walk,45,walk,VERB,0
a7s-fragment03_42_51,"Not at Paul Hill 's remembrance of beatings past , when he could hear the sound of steel-tipped boots running to take part in the fun , and once heard a principal medical officer , no less , telling colleagues : ‘ Do n't walk his face , do n't walk his face . ’",walk,51,walk,VERB,0
a7s-fragment03_43_7,"Not even the time he was dunked head first in a tub of dubious liquid , and brought up gasping for breath : ‘ Make him sing God Save the Queen ! ’ they shouted .",dunked,7,dunk,VERB,0
a7s-fragment03_43_18,"Not even the time he was dunked head first in a tub of dubious liquid , and brought up gasping for breath : ‘ Make him sing God Save the Queen ! ’ they shouted .",brought,18,bring,VERB,0
a7s-fragment03_43_20,"Not even the time he was dunked head first in a tub of dubious liquid , and brought up gasping for breath : ‘ Make him sing God Save the Queen ! ’ they shouted .",gasping,20,gasp,VERB,0
a7s-fragment03_43_27,"Not even the time he was dunked head first in a tub of dubious liquid , and brought up gasping for breath : ‘ Make him sing God Save the Queen ! ’ they shouted .",sing,27,sing,VERB,0
a7s-fragment03_43_29,"Not even the time he was dunked head first in a tub of dubious liquid , and brought up gasping for breath : ‘ Make him sing God Save the Queen ! ’ they shouted .",Save,29,save,VERB,0
a7s-fragment03_43_35,"Not even the time he was dunked head first in a tub of dubious liquid , and brought up gasping for breath : ‘ Make him sing God Save the Queen ! ’ they shouted .",shouted,35,shout,VERB,0
a7s-fragment03_44_5,"Brutality , as Hill describes and felt it , was a bitter part of his prison life ; you just learnt to get down on the floor as fast as you could and cover up as best you could .",describes,5,describe,VERB,0
a7s-fragment03_44_7,"Brutality , as Hill describes and felt it , was a bitter part of his prison life ; you just learnt to get down on the floor as fast as you could and cover up as best you could .",felt,7,feel,VERB,1
a7s-fragment03_44_21,"Brutality , as Hill describes and felt it , was a bitter part of his prison life ; you just learnt to get down on the floor as fast as you could and cover up as best you could .",learnt,21,learn,VERB,0
a7s-fragment03_44_23,"Brutality , as Hill describes and felt it , was a bitter part of his prison life ; you just learnt to get down on the floor as fast as you could and cover up as best you could .",get,23,get,VERB,0
a7s-fragment03_44_34,"Brutality , as Hill describes and felt it , was a bitter part of his prison life ; you just learnt to get down on the floor as fast as you could and cover up as best you could .",cover,34,cover,VERB,0
a7s-fragment03_45_10,But it was Gerry Conlon 's account of being interrogated after the Guildford bombings that made the scalp crawl .,interrogated,10,interrogate,VERB,0
a7s-fragment03_45_16,But it was Gerry Conlon 's account of being interrogated after the Guildford bombings that made the scalp crawl .,made,16,make,VERB,1
a7s-fragment03_46_2,"We know your mother works at the Royal Victoria Hospital , they told him , we know where your sister works , and there are sectarian killings down there .",know,2,know,VERB,0
a7s-fragment03_46_5,"We know your mother works at the Royal Victoria Hospital , they told him , we know where your sister works , and there are sectarian killings down there .",works,5,work,VERB,0
a7s-fragment03_46_13,"We know your mother works at the Royal Victoria Hospital , they told him , we know where your sister works , and there are sectarian killings down there .",told,13,tell,VERB,0
